chrom	total	discordant	frac_discordant	enriched
chr1	2221684	173566	0.07812362154113726	False
chr2	2068349	177156	0.08565092254740375	False
chr3	1558143	134491	0.08631492744889269	False
chr4	1388316	135033	0.09726387940497697	False
chr5	1426275	130064	0.09119139015968168	False
chr6	1352958	114538	0.0846574690419067	False
chr7	1504086	128429	0.08538673985397112	False
chr8	1219944	112916	0.0925583469405153	False
chr9	1149289	94645	0.08235091434791424	False
chr10	1298011	111003	0.08551776525776746	False
chr11	1241972	106285	0.08557761366600858	False
chr12	1229326	96832	0.07876836575489334	False
chr13	774920	74116	0.09564342125638775	False
chr14	812638	65921	0.08111976058220266	False
chr15	794754	63080	0.07937047186928282	False
chr16	1055044	78354	0.07426609695898939	False
chr17	1093175	72146	0.06599675257849841	False
chr18	656838	62530	0.09519851165736452	False
chr19	1020720	59194	0.05799239752331688	False
chr20	715580	59016	0.08247295899829508	False
chr21	396303	34677	0.08750123011937835	False
chr22	577793	39880	0.06902125847838239	False
chrX	1171658	145048	0.12379721727671385	False
